artist,career_span_years,avg_chart_rank,total_weeks_on_chart,grammy_wins,grammy_nominations,avg_danceability,avg_energy
Y&T,0,71.6,54,0,0,,
Buddy Holly,1,51.23,142,0,0,,
Daisy Dee,0,79.45,65,0,0,,
Billy Lawrence,4,92.91,31,0,0,,
Shakira Feat. Alejandro Sanz,0,49.39,495,0,0,,
P.F. Sloan,0,90.5,2,0,0,,
Vicious,0,80.36,65,0,0,,
Daze,0,94.33,5,0,0,,
Bobby Vee and The Crickets,0,99.5,2,0,0,,
Dr. Hook And The Medicine Show,1,52.71,384,0,0,,
Eddie Rabbitt With Crystal Gayle,1,34.03,434,0,0,,
Adam Wade,5,56.03,373,0,0,,
Milky Chance,1,57.84,324,0,0,,
Marc Almond,0,80.13,35,0,0,,
Migos Featuring Travis Scott,0,79.0,2,0,0,,
Silvetti,0,60.2,119,0,0,,
Travis Scott Featuring Drake,0,51.16,189,0,0,,
Simon Stokes/Nighthawks,0,90.5,2,0,0,,
Tyler| the Creator Featuring Glorilla| Sexyy Red & Lil Wayne,1,30.15,209,0,0,,
Blueface,0,27.15,209,0,0,,
The Neighbourhood,1,51.59,699,0,0,,
Arianna Featuring Pitbull,0,97.0,1,0,0,,
Tora Tora,0,92.33,20,0,0,,
Usher Featuring Young Jeezy,0,15.96,324,0,0,,
The Casinos,0,28.0,90,0,0,,
John Morgan Featuring Jason Aldean,0,79.33,20,0,0,,
Dave Mason,10,57.82,367,0,0,,
The Hollyridge Strings,0,93.0,1,0,0,,
Brooks & Dunn Featuring Billy Gibbons,0,97.67,5,0,0,,
Jin,0,90.0,1,0,0,,
The Marshall Tucker Band,5,59.69,398,0,0,,
The Peace Choir,0,68.5,9,0,0,,
The New Hope,1,70.56,44,0,0,,
Nipsey Hussle Featuring YG,0,83.33,5,0,0,,
Billy Abbott And The Jewels,0,68.0,35,0,0,,
The Montanas,0,68.71,27,0,0,,
John Lennon/Plastic Ono Band With Elephant's Memory,0,66.0,14,0,0,,
George Hamilton IV,5,64.83,145,0,0,,
Sam & Bill,1,96.75,5,0,0,,
Dreamlovers,0,73.6,14,0,0,,
AWOLNATION,3,50.41,3138,0,0,,
The Mighty Dub Katz,1,76.15,209,0,0,,
Sunny & The Sunglows,0,33.67,77,0,0,,
Boys Like Girls Featuring Taylor Swift,1,35.76,228,0,0,,
J. Cole Featuring Amber Coffman & The Cults,0,94.4,14,0,0,,
Tracie Spencer,12,57.03,869,0,0,,
The T.S.U. Toronadoes,0,77.67,20,0,0,,
Patra,1,69.5,189,0,0,,
DJ Drama Featuring Chris Brown| Skeme & Lyquin,0,89.43,104,0,0,,
Betty Harris,4,66.0,80,0,0,,
Alvin Cash & The Registers,0,73.47,64,0,0,,
Connie Francis,11,42.25,2850,0,0,0.749,0.628
John Livigni,0,90.17,20,0,0,,
The Fixx,9,50.69,805,0,0,,
Justin Hayward & John Lodge,1,77.5,41,0,0,,
Sheck Wes,1,26.79,405,0,0,,
Twista Featuring Faith Evans,0,56.43,27,0,0,,
Kayak,0,73.0,20,0,0,,
Marlena Shaw,0,67.6,14,0,0,,
Robin Thicke Featuring T.I. + Pharrell,1,20.79,1175,0,0,,
Ty Dolla $ign Featuring Post Malone,0,53.0,1,0,0,,
Ed Sheeran & Travis Scott,0,66.25,9,0,0,,
Robert & Johnny,0,93.0,2,0,0,,
Cardi B Featuring Selena Gomez,0,69.0,2,0,0,,
Peso Pluma| Gabito Ballesteros & Junior H,0,53.45,209,0,0,,
Alessi,0,78.5,9,0,0,,
Rufus Thomas,9,53.59,472,0,0,0.374,0.794
Post Malone Featuring Lainey Wilson,0,70.5,2,0,0,,
SZA X Justin Timberlake,0,74.0,27,0,0,,
Justin Bieber Featuring Nicki Minaj,1,24.67,297,0,0,,
Redbone,4,45.74,573,0,0,,
Snap!,3,34.49,1096,0,0,,
Ms. Jade,0,95.0,9,0,0,,
Lil Dicky Featuring Fetty Wap & Rich Homie Quan,1,85.32,180,0,0,0.82,0.691
Donny Hathaway And June Conquest,0,96.4,14,0,0,,
Jim Kirk And The Tm Singers,0,79.0,5,0,0,,
Miguel Featuring J. Cole,0,74.57,104,0,0,,
Bobby V Featuring Yung Joc,1,74.92,75,0,0,,
Jessie J Featuring 2 Chainz,1,89.67,12,0,0,,
Young Nudy Featuring 21 Savage,0,58.35,209,0,0,,
Shawn Mendes & Tainy,0,83.75,35,0,0,,
The All-American Rejects,6,35.89,2563,0,0,,
Taylor Swift Featuring The National,0,63.0,1,0,0,,
The Wildweeds,0,92.5,9,0,0,,
Felice Taylor,0,57.33,20,0,0,,
Yahritza y Su Esencia,0,63.2,14,0,0,,
Clean Bandit Featuring Sean Paul & Anne-Marie,1,35.19,377,0,0,,
Ritt Momney,1,65.32,303,0,0,,
Yellow Magic Orchestra,0,72.0,44,0,0,,
Roxy Music,5,61.07,157,0,0,,
Drake Featuring 21 Savage,7,37.63,408,0,0,,
Dr. Buzzard's Original Savannah Band,1,52.65,214,0,0,,
Shaquille O'Neal,2,64.83,339,0,0,0.387,0.641
Daniel Rodriguez,1,99.5,2,0,0,,
The Sensations Featuring Yvonne,0,73.38,35,0,0,,
Metro Boomin Featuring Travis Scott| Kodak Black & 21 Savage,0,79.0,1,0,0,,
Eric Paslay,2,80.14,340,0,0,,
Jeff Beck & Rod Stewart,0,63.9,54,0,0,,
Wisin Featuring Ozuna,0,75.8,209,0,0,,
Switch,2,77.22,244,0,0,,
Commander Cody & His Lost Planet Airmen,0,31.36,104,0,0,,
Rihanna Featuring Jeezy,1,31.15,209,0,0,,
Snail,0,93.0,2,0,0,,
Justin Timberlake Featuring JAY Z,0,20.19,350,0,0,,
Jo Ann Campbell,3,69.42,76,0,0,,
The Waitresses,0,75.33,20,0,0,,
Will Young,0,81.0,1,0,0,,
Kreayshawn,0,74.5,54,0,0,,
Traffic featuring Stevie Winwood,0,94.0,1,0,0,,
Quavo Featuring 21 Savage,0,61.0,1,0,0,,
Ne-Yo Featuring Jamie Foxx & Fabolous,1,75.9,209,0,0,,
Don Toliver Featuring Justin Bieber & Future,0,93.29,23,0,0,,
Eminem Featuring Sia,1,67.0,2,0,0,,
Nelly Featuring Keri Hilson,0,75.0,1,0,0,,
T.I. Featuring Rihanna,1,14.14,405,0,0,,
The Excellents,1,66.56,44,0,0,,
Deborah Cox,9,47.77,1137,0,0,,
21 Savage & Metro Boomin Featuring Future,1,51.24,230,0,0,,
Joe Featuring Mystikal,0,16.27,350,0,0,,
Pretty Purdie,0,93.0,5,0,0,,
Playboi Carti & Travis Scott,0,54.2,4,0,0,,
Cardi B Featuring Dougie F,0,70.0,1,0,0,,
Wizkid Featuring Justin Bieber & Tems,1,31.6,604,0,0,,
Florida Georgia Line Featuring Tim McGraw,1,51.25,209,0,0,,
Nicki French,0,25.78,377,0,0,,
The Barden Bellas| The Treblemakers & The BU Harmonics,0,90.6,14,0,0,,
¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,0,34.37,189,0,0,,
Soulja Boy Tell'em,3,32.38,871,0,0,,
Big Sean Featuring Kanye West,0,80.0,1,0,0,,
Aaron Tippin,4,59.25,632,0,0,,
Southside| Travis Scott & Future,0,57.0,1,0,0,,
Kid Ink Featuring DeJ Loaf,0,56.15,209,0,0,,
Raekwon,1,63.83,170,0,0,,
Willi One Blood,0,73.73,65,0,0,,
Johnny Preston,2,41.44,608,0,0,,
Kenny Nolan,4,42.5,587,0,0,,
Euclid Beach Band,0,86.6,14,0,0,,
Chloe,3,63.74,211,0,0,,
Tom and Jerrio,0,66.63,35,0,0,,
Danzig,0,63.8,119,0,0,,
Kanii,0,92.5,2,0,0,,
YG Featuring A$AP Rocky,0,98.5,2,0,0,,
Roddy Ricch Featuring Kodak Black & 21 Savage,0,91.0,1,0,0,,
David Guetta Featuring Sia,1,27.15,558,0,0,,
Fountains of Wayne,1,51.24,152,0,0,,
Jim Jones,1,24.19,377,0,0,,
Mariah Carey Featuring Jay-Z,1,24.65,209,0,0,,
Brenda Russell Featuring Joe Esposito,0,44.36,324,0,0,,
Jay Sean Featuring Pitbull,0,85.0,1,0,0,,
Justin Bieber & Dijon,0,56.0,1,0,0,,
The Deadly Nightshade,0,83.0,9,0,0,,
Kenny Chandler,0,74.86,27,0,0,,
Nipsey Hussle Featuring Belly & Dom Kennedy,0,74.0,5,0,0,,
Nicki Minaj Featuring Lourdiz,0,87.0,1,0,0,,
Classics IV Featuring Dennis Yost,1,27.5,261,0,0,,
Bad Bunny| Arcangel| De la Ghetto & Nengo Flow,0,83.0,1,0,0,,
The Cascades,6,53.41,183,0,0,,
Seals & Crofts,6,47.66,967,0,0,,
David Guetta Featuring Usher,1,18.67,464,0,0,,
South Shore Commission,1,82.13,45,0,0,,
Dwayne Johnson,1,88.54,58,0,0,,
Technotronic,0,46.17,214,0,0,,
YNW Melly & Juice WRLD,1,50.25,193,0,0,,
Sinitta,0,89.75,9,0,0,,
Sharon Bryant,1,67.61,104,0,0,,
Jonas Brothers Featuring Karol G,0,71.71,27,0,0,,
SOB X RBE,0,75.0,9,0,0,,
Me Phi Me,0,93.0,9,0,0,,
Carl Douglas,1,39.64,197,0,0,,
Jim Jones & Ron Browz Featuring Juelz Santana,1,42.2,209,0,0,,
The Harden Trio,0,63.3,54,0,0,,
Frozen Ghost,0,79.7,54,0,0,,
Suave,0,48.87,119,0,0,,
Alias,1,45.48,436,0,0,,
Billy Vera & Judy Clay,1,58.27,64,0,0,,
Procol Harum,5,31.63,181,0,0,,
Taylor Swift Featuring Hayley Williams,0,31.0,1,0,0,,
Polo G Featuring The Kid LAROI & Lil Durk,0,49.0,2,0,0,,
Ike & Tina Turner Featuring Tina,0,93.25,9,0,0,,
The Wiseguys,0,49.5,77,0,0,,
Maluma & The Weeknd,1,53.14,230,0,0,,
The Cuff Links,1,50.07,141,0,0,,
Frankie Laine,6,63.18,248,0,0,,
The Spencer Davis Group,1,46.15,170,0,0,,
DJ Khaled Featuring Meek Mill| J Balvin| Lil Baby & Jeremih,0,72.75,5,0,0,,
Nancy Sinatra & Lee Hazlewood,1,36.61,99,0,0,,
Owl City,1,33.0,498,0,0,,
Davie Allan And The Arrows,1,72.45,149,0,0,,
The Shirelles,8,43.42,1225,0,0,0.473,0.709
Ian Thomas,1,57.14,104,0,0,,
Cris Mj,0,82.75,5,0,0,,
Bow Wow Wow,1,76.55,36,0,0,,
Bobby Brackins Featuring Ray J,0,88.55,65,0,0,0.652,0.37
The Hearts,0,96.0,5,0,0,,
The Quarter Notes,0,82.0,1,0,0,,
Tracey Ullman,0,42.9,161,0,0,,
Trina,0,96.5,9,0,0,,
Sleepy Hallow Featuring 347aidan,0,81.6,14,0,0,,
Timmy T.,1,54.42,505,0,0,,
Jimmy Holiday,3,75.6,44,0,0,,
The Vels,0,82.5,20,0,0,,
Internet Money| Don Toliver & Lil Uzi Vert Featuring Gunna,0,67.0,1,0,0,,
The White Buffalo & The Forest Rangers,0,93.0,1,0,0,,
Joshua Kadison,2,50.58,526,0,0,,
Rick Ross Featuring Kanye West| T-Pain & Lil' Wayne,0,92.0,1,0,0,,
Big Sister,0,95.5,2,0,0,0.385,0.87
Drake & Central Cee,2,80.46,77,0,0,,
Andy Fraser,0,88.4,14,0,0,,
Flipp Dinero,1,43.6,324,0,0,,
BBMak,2,44.4,574,0,0,,
Future & Juice WRLD,1,71.36,90,0,0,,
Jud Strunk,2,50.15,164,0,0,,
Continental Miniatures,0,92.0,5,0,0,,
Ty Dolla $ign Featuring E-40,0,88.78,44,0,0,,
Chris Cagle,13,74.66,1039,0,0,,
Bella Poarch,0,71.5,77,0,0,,
Eslabon Armado X Peso Pluma,0,16.91,275,0,0,,
Lil Wayne Featuring Drake & Jadakiss,0,79.0,1,0,0,,
Bobby Womack & Patti LaBelle,0,91.0,14,0,0,,
Young Thug,11,68.4,328,0,0,,
CL,0,94.0,1,0,0,,
Kenny Rogers & Dolly Parton,1,82.0,9,0,0,,
Joe South and The Believers,1,41.48,142,0,0,,
Marc E. Bassy Featuring G-Eazy,0,76.25,135,0,0,,
Thalia Featuring Fat Joe,0,48.63,189,0,0,,
Blues Image,0,37.74,128,0,0,,
Cherish,1,69.47,152,0,0,,
Big Pig,0,72.6,54,0,0,,
DJ Khaled Featuring Jay Z & Future,0,57.24,152,0,0,,
Ric Ocasek,4,61.19,268,0,0,,
Nas Featuring Ginuwine,0,73.25,135,0,0,,
Daryl Braithwaite,0,67.2,54,0,0,,
The Pussycat Dolls Featuring Snoop Dogg,0,20.53,464,0,0,,
Keyshia Cole Featuring 2Pac,1,83.0,90,0,0,,
Miguel Rios,0,25.0,44,0,0,,
Mann,0,73.64,65,0,0,,
The Nylons,0,54.21,179,0,0,,
System of a Down,4,74.3,834,0,0,,
Calboy,1,45.52,377,0,0,,
Coldplay X Selena Gomez,0,91.0,1,0,0,,
Duice,0,36.48,819,0,0,,
Rich Homie Quan,2,50.09,586,0,0,,
Kenny Loggins & Jim Messina,1,25.94,135,0,0,,
T.I. Featuring Lil Baby,0,97.0,1,0,0,,
The Astors,0,70.0,44,0,0,,
Somethin' For The People Featuring Trina & Tamara,1,20.31,350,0,0,,
The In Crowd,0,94.0,2,0,0,,
Jennifer Hudson & Ne-Yo Featuring Rick Ross,0,94.5,2,0,0,,
Willa Ford,0,48.3,209,0,0,,
Post Malone Featuring Luke Combs,1,58.89,338,0,0,,
Alan Parsons,0,56.15,90,0,0,,
Iggy Azalea Featuring Charli xcx,0,24.26,779,0,0,,
2 Unlimited,3,64.57,795,0,0,,
Mark Dinning,2,56.06,227,0,0,,
Famous Dex,0,55.4,119,0,0,,
Joni James,3,59.37,330,0,0,,
Fuerza Regida X Grupo Frontera,0,49.0,209,0,0,,
Derek,1,42.14,139,0,0,,
Bow Wow Featuring Johnta Austin,0,68.7,54,0,0,,
Matt Lucas,0,72.0,44,0,0,,
Los del Rio,2,32.84,2047,0,0,,
Lil Wayne Featuring Ashanti & Mack Maine,0,76.0,1,0,0,,
Joyner Lucas Featuring Logic,0,69.0,2,0,0,,
DaBaby Featuring Young Thug,0,86.22,44,0,0,,
Harry Connick| Jr.,1,77.1,209,0,0,0.328,0.491
Air Supply,6,36.16,2327,0,0,,
Linda Ronstadt & The Nelson Riddle Orchestra,1,67.14,104,0,0,,
The Raindrops,1,59.14,162,0,0,,
Robin Trower,1,87.29,27,0,0,,
Bow Wow Featuring Soulja Boy Tell'em,0,86.67,5,0,0,,
Leslie Uggams,0,98.0,1,0,0,,
50 Cent Featuring Nate Dogg,0,16.22,275,0,0,0.67,0.406
Mista Grimm,1,75.0,209,0,0,,
The 4 Of Us,0,86.0,14,0,0,,
Webstar & Young B Featuring The Voice Of Harlem,1,74.08,77,0,0,,
The Mauds,0,87.5,9,0,0,,
Kanye West Featuring Pusha T,1,54.46,90,0,0,,
Mr. C The Slide Man,0,90.0,54,0,0,,
T-Boz,0,70.1,209,0,0,,
Maroon 5 Featuring Christina Aguilera,1,20.24,1224,0,0,,
Klique,0,66.89,44,0,0,,
H.E.R. Featuring Chris Brown,1,83.78,117,0,0,,
Lil Baby| Lil Durk & Travis Scott,0,69.55,65,0,0,,
Tim McGraw & Tyler Hubbard,0,88.0,1,0,0,,
CJ,1,38.32,252,0,0,,
Tiesto Featuring Matthew Koma,0,67.33,77,0,0,,
Alisha,5,79.0,187,0,0,,
DNA Featuring Suzanne Vega,1,33.95,230,0,0,,
Round Robin,0,78.0,35,0,0,,
Ellie Goulding & Juice WRLD,1,74.45,198,0,0,,
Betty Boo,0,92.5,9,0,0,,
Andre Williams & His Orch.,0,94.0,1,0,0,,
King Von Featuring G Herbo,0,92.0,1,0,0,,
The Belle Stars,6,49.64,179,0,0,,
Sean Kingston,3,32.21,999,0,0,,
Diana King,3,53.71,771,0,0,,
Cock Robin,0,60.63,135,0,0,,
Warren Zeiders,1,50.36,392,0,0,,
T. Rex,1,52.04,153,0,0,,
Mos Def & Pharoahe Monch Featuring Nate Dogg,1,91.67,77,0,0,,
Vic Damone,0,56.2,54,0,0,,
The Faragher Bros.,0,70.71,27,0,0,,
We the Kings,5,84.67,62,0,0,,
Mitch Malloy,0,72.82,79,0,0,,
Natasha Bedingfield Featuring Sean Kingston,1,30.5,209,0,0,,
CSS,0,75.0,5,0,0,,
Lil Dicky,0,59.5,20,0,0,,
Gary's Gang,0,61.0,54,0,0,,
Babyface (Featuring Toni Braxton),0,55.56,135,0,0,,
Becky G X Karol G,0,32.9,209,0,0,,
Nardo Wick,0,67.09,65,0,0,,
Sad Cafe,2,84.62,53,0,0,,
The Flying Lizards,1,70.1,54,0,0,,
Yolanda Be Cool & Dcup,1,54.8,209,0,0,,
T-Pain Featuring Yung Joc,0,19.83,629,0,0,,
Masked Wolf,0,20.86,405,0,0,,
J Balvin & Willy William Featuring Beyonce,1,23.55,438,0,0,,
Stanley Clarke/George Duke,0,47.4,209,0,0,,
The Eleventh Hour,1,79.35,109,0,0,,
Eminem Featuring Dr. Dre,0,49.0,2,0,0,,
Nardo Wick Featuring G Herbo| Lil Durk & 21 Savage,1,50.45,209,0,0,,
Black Eyed Peas| Ozuna + J.Rey Soul,0,73.45,65,0,0,,
Bulldog,1,61.13,119,0,0,,
Morty Jay And The Surferin' Cats,0,93.0,1,0,0,,
Fat Joe Featuring Nelly,0,27.55,209,0,0,,
Gabby Barrett,3,64.0,498,0,0,,
All Saints,0,34.46,359,0,0,,
Kenny Chesney With Grace Potter,0,75.2,117,0,0,,
A Boogie wit da Hoodie Featuring DJ SPINKING,0,89.75,9,0,0,,
T.K. Hulin,0,93.0,2,0,0,,
LeToya,0,55.1,209,0,0,,
Joyce Kennedy & Jeffrey Osborne,0,59.42,77,0,0,,
Paul Anka,25,48.03,2290,0,0,0.578,0.304
New Born,0,98.5,2,0,0,,
Iggy Azalea Featuring Jennifer Hudson,0,81.0,14,0,0,,
Don Covay,12,71.48,101,0,0,,
Big Sean Featuring Travis Scott,0,69.0,1,0,0,,
Elusion,0,84.91,65,0,0,,
Taja Sevelle,0,73.6,54,0,0,,
Adele With Erroll Garner,0,53.0,1,0,0,,
Karol G| Cris Mj & Ryan Castro,0,68.0,1,0,0,,
The Righteous Brothers,28,43.19,1391,0,0,0.309,0.636
Ariana Grande & John Legend,0,87.0,1,0,0,,
Olivia,0,49.36,104,0,0,,
BTO,0,80.0,27,0,0,,
2 Chainz Featuring Kanye West,1,63.55,207,0,0,,
Big Sean Featuring Wiz Khalifa,0,98.0,1,0,0,,
"The Corsairs Featuring Jay ""Bird"" Uzzell",1,55.83,156,0,0,,
The Sunshine Band,0,88.0,2,0,0,,
Blue,0,89.8,14,0,0,,
Shoes,0,79.8,14,0,0,,
YoungBloodZ,1,89.42,65,0,0,,
Spectacular! Cast,0,95.0,1,0,0,,
Kenny Chesney Featuring Grace Potter,0,44.8,209,0,0,,
Inoj/LATHUN,0,43.85,209,0,0,,
Baby Washington,2,74.89,175,0,0,,
Prelude,2,63.14,125,0,0,,
Megan Thee Stallion Featuring Future,0,67.5,1,0,0,,
Cut 'N' Move,0,84.83,20,0,0,,
Etta & Harvey,1,72.27,82,0,0,,
Little Bill and The Bluenotes,0,74.0,20,0,0,,
Ramsey Lewis And Earth| Wind & Fire,0,64.54,47,0,0,,
The Chainsmokers Featuring 5 Seconds of Summer,0,61.31,135,0,0,,
Peter Gabriel/Kate Bush,0,81.33,20,0,0,,
T-Pain & Kehlani,0,97.0,1,0,0,,
Ciara Featuring Petey Pablo,1,21.34,740,0,0,,
Buddy Knox with the Rhythm Orchids,0,40.77,104,0,0,,
Bobby Shmurda,1,32.57,327,0,0,,
Kerry Chater,0,97.5,2,0,0,,
Gwen Stefani Featuring Blake Shelton,0,50.0,1,0,0,,
Aldo Nova,0,60.41,155,0,0,,
Nengo Flow & Bad Bunny,0,81.5,35,0,0,,
The LOX Featuring Timbaland And Eve,0,86.86,27,0,0,,
Mungo Jerry,0,22.0,90,0,0,,
Cupid,0,85.31,90,0,0,,
Blaque,1,24.49,643,0,0,0.609,0.448
J Balvin & Ed Sheeran,0,89.0,1,0,0,,
Lil Tjay Featuring 6LACK,0,20.82,252,0,0,,
Joey Kid,0,85.75,77,0,0,,
Dale Ward,1,47.27,65,0,0,,
Dan Reed Network,0,59.18,65,0,0,,
Wiz Khalifa Featuring Ty Dolla $ign,0,92.0,1,0,0,,
Hailee Steinfeld,2,65.19,270,0,0,,
Laid Back,0,58.83,170,0,0,,
Jerry Landis,0,98.0,5,0,0,,
Firefly,0,84.89,40,0,0,,
The Doors,17,44.19,839,0,0,,
Marvin Gaye & Kim Weston,3,51.17,97,0,0,,
Cymande,0,63.2,54,0,0,,
Ray LaMontagne,0,90.0,1,0,0,,
Chris Brown Featuring Yo Gotti| A Boogie wit da Hoodie & Kodak Black,1,57.68,193,0,0,,
Trent Tomlinson,1,95.2,11,0,0,,
Bia Featuring Nicki Minaj,0,53.65,152,0,0,,
Chris Brown Featuring Plies,0,88.0,1,0,0,,
Katy Perry Featuring Migos,0,80.17,18,0,0,,
Nelson,1,41.44,858,0,0,0.639,0.654
Luke Featuring No Good But So Good,0,40.9,209,0,0,,
Post Malone Featuring SZA,0,52.0,2,0,0,,
"John Williams/""Jaws"" Soundtrack",0,55.7,54,0,0,,
Trey Songz Featuring Nicki Minaj,5,34.2,559,0,0,,
The Volume's,0,49.67,77,0,0,,
Kay Starr,1,79.06,58,0,0,,
Brent Faiyaz,1,79.12,206,0,0,,
Lil Durk Featuring Jhene Aiko,0,84.0,1,0,0,,
Bobby Pickett,0,93.5,2,0,0,,
Fools Gold,0,83.29,27,0,0,,
Big Sean Featuring Kanye West & Roscoe Dash,0,52.95,209,0,0,,
Troop 41,0,88.75,27,0,0,,
TakeOff,0,73.67,2,0,0,,
3rd Party,0,65.52,274,0,0,,
Conductor,0,74.8,14,0,0,,
2 Chainz Featuring Drake & Lil Wayne,0,94.0,1,0,0,,
The Fascinations,0,96.67,5,0,0,,
Joyner Lucas & J. Cole,0,58.0,5,0,0,,
The Seekers,2,34.04,306,0,0,,
Streek,0,64.71,27,0,0,,
Giant,1,59.17,263,0,0,,
Lay Bankz,0,72.33,20,0,0,,
Rich The Kid Featuring Kendrick Lamar,0,59.21,189,0,0,,
Bill Black's Combo,9,51.31,653,0,0,0.542,0.347
Britney Spears & Iggy Azalea,0,55.25,35,0,0,,
Michael Morales,2,57.21,308,0,0,,
Focus,0,53.13,203,0,0,,
"Frank Sinatra ""and a bunch of kids""",0,58.24,152,0,0,,
Wham! U.K.,0,74.22,44,0,0,,
Benny Mardones,9,43.81,681,0,0,,
Heltah Skeltah And O.G.C. As The Fab 5,0,86.75,35,0,0,,
NRBQ,0,81.17,20,0,0,,
G-Unit Featuring Joe,0,43.17,170,0,0,,
Eminem & Ez Mil,0,72.0,1,0,0,,
Drake Featuring Trey Songz & Lil Wayne,0,55.06,170,0,0,,
The Art Of Noise Featuring Tom Jones,1,50.82,65,0,0,,
GQ,3,52.37,154,0,0,,
Stevie Nicks With Don Henley,1,25.05,189,0,0,,
Drake Featuring Kid Cudi,0,47.0,2,0,0,,
Rock-A-Teens,0,33.58,77,0,0,,
Juicy J| Wiz Khalifa & Ty Dolla $ign Featuring Kill the Noise & Madsonik,1,91.67,2,0,0,,
Scotty McCreery,12,71.28,1374,0,0,,
Rick Bowles,0,80.0,5,0,0,,
Juice WRLD x Marshmello,0,23.05,209,0,0,,
Patti Drew,1,80.1,102,0,0,,
Country Coalition,0,97.0,5,0,0,,
Ola & The Janglers,0,92.67,5,0,0,,
YoungBoy Never Broke Again Featuring Lil Baby,0,94.0,1,0,0,,
The Metros,0,91.0,9,0,0,,
Miranda Cosgrove,2,79.2,121,0,0,,
G-Eazy Featuring Remo,0,99.25,4,0,0,,
Lyme & Cybelle,0,74.67,20,0,0,,
Dennis Yost And The Classics IV,6,69.98,208,0,0,,
Halsey Featuring Lauren Jauregui,0,100.0,1,0,0,,
Gwen Stefani Featuring Akon,1,23.55,819,0,0,,
The Osmond Brothers,0,96.0,1,0,0,,
Four Jacks And A Jill,0,57.81,106,0,0,,
Keri Hilson Featuring Kanye West & Ne-Yo,0,18.32,495,0,0,,
Stan Robinson,0,90.25,9,0,0,,
Skyy,8,60.61,142,0,0,,
Jenny Burton,0,84.83,20,0,0,,
Ini Kamoze,1,32.54,478,0,0,,
Dionne & Friends Featuring Elton John| Gladys Knight And Stevie Wonder,1,27.3,275,0,0,,
Snuff,0,90.5,2,0,0,,
Gonzalez,0,51.67,77,0,0,,
Sean Paul Featuring Sasha,1,39.2,324,0,0,,
A$AP Rocky Featuring J. Cole,0,85.0,1,0,0,,
Ollie & The Nightingales,0,76.22,44,0,0,,
Armani White,1,73.57,88,0,0,,
Auburn Featuring Iyaz,0,62.54,90,0,0,,
Ludacris Featuring Usher & David Guetta,1,80.9,52,0,0,,
Sueco,0,76.0,2,0,0,,
Maria Vidal,0,67.5,77,0,0,,
J. Cole Featuring BAS,0,65.0,1,0,0,,
Jax,1,55.68,324,0,0,,
Harold Dorman,0,50.32,189,0,0,,
Merrilee Rush & The Turnabouts,0,44.05,155,0,0,,
Maurice Williams & The Zodiacs,1,41.83,177,0,0,,
Wale Featuring Lady Gaga,0,99.0,1,0,0,,
Joose,0,70.47,152,0,0,,
The Blow Monkeys,0,46.11,189,0,0,,
Mic Geronimo Featuring DMX & Black Rob,0,79.83,20,0,0,,
Drake Featuring Wizkid & Kyla,0,12.31,665,0,0,,
Rick Ross Featuring John Legend,0,74.09,65,0,0,,
The String-A-Longs,0,40.53,206,0,0,,
Bad Bunny & Bryant Myers,0,64.0,2,0,0,,
The Rose Garden,1,47.86,104,0,0,,
Bizarrap & Shakira,0,51.4,104,0,0,,
Blue Zone U.K.,0,73.22,44,0,0,,
Wyclef Jean Featuring Missy Elliott,0,79.56,44,0,0,,
SZA Featuring Ty Dolla $ign,1,75.1,194,0,0,,
Desmond Child And Rouge,0,67.82,65,0,0,,
Brand Nubian,6,81.24,81,0,0,,
Otis Leavill,1,76.33,44,0,0,,
Vitamin Z,0,80.43,27,0,0,,
The Boys In The Band,0,61.5,54,0,0,0.541,0.405
Swae Lee Featuring Slim Jxmmi,0,84.0,1,0,0,,
Ariana Grande Featuring Lil Wayne,0,99.0,1,0,0,,
Shot In The Dark,0,80.8,14,0,0,,
King Von,2,78.22,29,0,0,,
Young Thug With J. Cole & T-Shyne,0,69.0,1,0,0,,
Ray Bryant,0,91.5,2,0,0,,
Max Frost And The Troopers,0,42.25,77,0,0,,
Jodeci,5,42.93,2193,0,0,,
Flo Rida Featuring Sage The Gemini & Lookas,1,37.97,622,0,0,,
The Paris Sisters,3,55.15,196,0,0,,
Militia,0,66.2,209,0,0,,
The James Gang,3,71.76,119,0,0,,
Tag,0,77.63,35,0,0,,
Champaign,2,45.84,484,0,0,,
matchbox 20,1,41.4,407,0,0,,
Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,1,41.95,252,0,0,,
Jack Scott,3,50.88,820,0,0,,
Mase Featuring P. Diddy,0,48.56,135,0,0,,
Jhay Cortez| J Balvin & Bad Bunny,0,82.79,104,0,0,,
Bill Brandon,0,86.0,27,0,0,,
Splinter,1,87.88,35,0,0,,
Xavi,1,55.79,337,0,0,,
Scarlett & Black,0,49.94,170,0,0,,
Freak Nasty,0,31.97,560,0,0,,
Utopia,3,65.48,102,0,0,,
Greg Guidry,0,48.5,137,0,0,,
Grand Master Melle Mel And The Furious Five With Mr Ness & Cowboy,0,87.0,2,0,0,,
Yfn Lucci,0,92.0,1,0,0,,
Johnny Rivers,14,42.53,1605,0,0,0.673,0.443
The Revels,0,65.1,54,0,0,,
Logic Featuring Eminem,0,50.5,14,0,0,,
The KLF Featuring Tammy Wynette,0,38.56,170,0,0,,
Le Click Featuring Kayo,1,75.16,173,0,0,,
