artist,career_span_years,avg_chart_rank,total_weeks_on_chart,grammy_wins,grammy_nominations,avg_danceability,avg_energy
Drake,16,44.39,8327,2,16,0.5156,0.5366
The Lumineers,4,47.69,2123,0,2,,
Shop Boyz,0,24.05,252,0,1,,
Kali Uchis,2,57.63,388,0,2,,
Mumford & Sons,5,62.29,1372,1,7,,
Macy Gray,0,21.67,377,1,4,,
Coco Jones,0,77.2,193,1,4,,
Jay-Z,21,52.48,2550,3,15,0.705,0.544
James Taylor,18,45.45,1238,5,17,,
Johnny Horton,3,40.4,775,1,2,,
Little Eva,1,33.98,286,0,1,,
Ricky Martin,7,54.27,1476,2,7,,
Thelma Houston,9,46.18,459,1,2,,
Rush,9,67.49,419,0,7,,
Lee Ritenour,2,54.57,162,0,5,,
Faith Hill With Tim McGraw,0,69.5,104,0,1,,
Tracy Lawrence,14,74.08,674,0,1,,
James Bay,0,45.71,594,0,2,,
Captain & Tennille,5,38.13,1559,1,2,,
Romeo Santos,6,91.6,14,0,1,,
Paula Abdul,21,38.31,2077,1,2,0.428,0.648
Anthony Newley,2,87.81,29,0,1,,
Montell Jordan,5,34.99,1651,0,1,,
Usher,20,34.55,5951,6,14,,
Aretha Franklin,37,43.11,3426,16,34,0.573,0.563
Oingo Boingo,1,74.63,86,0,1,,
Joe Harnell And His Orchestra,1,44.36,90,0,1,,
Avicii,8,36.47,1914,0,1,,
The Smothers Brothers,0,91.0,5,0,2,,
Kenny Chesney,26,61.41,7322,0,1,,
Prince,38,45.77,3217,3,18,0.506,0.691
Gina G,1,39.63,529,0,1,,
Anthony Hamilton,2,57.44,423,0,8,,
Black Sabbath,2,66.78,89,2,4,,
Soupy Sales,0,85.33,20,0,1,,
Commodores,13,44.05,3051,1,9,,
Marsha Ambrosius,1,86.68,154,0,2,,
Shaboozey,1,20.46,4079,0,2,,
Taylor Dayne,6,39.07,2164,0,2,,
Future & Metro Boomin,0,58.0,19,0,1,,
Camila Cabello,5,51.98,943,0,2,,
Donald Byrd,0,95.17,18,0,1,,
Kendrick Lamar Featuring Rihanna,0,50.73,350,1,1,,
Jeannie Seely,0,90.8,14,1,2,,
The Who,18,49.18,1301,0,2,0.672,0.491
Gotye Featuring Kimbra,1,21.75,1769,2,2,,
Kris Kristofferson & Rita Coolidge,1,79.4,68,2,2,,
Jamey Johnson,1,70.83,170,0,6,,
Jesse Winchester,4,62.4,82,0,1,,
Toni Basil,2,47.3,406,0,1,,
Karyn White,7,40.24,1183,0,1,,
Henson Cargill,1,42.0,77,0,1,,
The O'Jays,34,53.82,1545,0,4,,
Anita Bryant,5,52.66,498,0,3,,
Teena Marie,8,55.2,512,0,3,,
Wiz Khalifa Featuring The Weeknd,1,74.81,135,0,1,,
Taylor Swift Featuring Ice Spice,1,26.73,457,0,1,,
Paramore,10,54.43,1580,2,4,,
Jeffrey Osborne,6,56.58,1152,0,3,,
LMFAO,3,43.86,1200,0,2,,
Tom Cochrane,0,34.23,359,0,1,,
Roger Miller,5,43.7,604,9,12,,
Dan Peek,0,85.8,14,0,1,,
A$AP Rocky,11,80.5,5,0,1,,
Ellie Goulding,5,37.91,3424,0,1,,
Anita Baker,18,60.11,1677,5,12,,
Meek Mill,6,77.04,4,0,1,0.787,0.743
America,11,40.95,1338,1,2,,
Eiffel 65,1,30.55,209,0,1,,
Sebastian Yatra,0,62.06,135,0,1,,
Shannon,16,56.65,543,0,1,,
David Gilmour,0,76.0,27,0,2,,
DragonForce,0,91.0,14,0,1,,
Tina Turner,12,42.73,2162,6,20,,
Lisa Fischer,0,56.88,229,1,1,,
